text,label
Respected Sir A very serious matter I want to inform you Few person running or involve in some very shamefull activities by using few women at many places of kolkata gariahat ballygunge RUBY HOSPITAL BEHIND area KASBA ANANDAPUR QUEST MALL metropolis mall area ACROPOLISMALL area park circus FORUM MALL ELGIN RD Parkstreet MAIDAN AREA esplanade Garia jadavpur BEHALASAKHERBAZAR JOKA BANSDRONI Rabindrasadanexide area HARIDEVPUR triangular park lake mall area rashbehari area TOLLYGUNGE THAKURPUKUR BBD BAG DALHOUSIE AREA and SALTLAKE Their name SUBHRO SAHA AMLAN DATTA IZAZ AHMED Anirban They officially work in a insurance office hdfclife a hindustanpark ab gariahat shopping mall st floor beside of reliance trend building near gariahat more but outside at several places they involve in some shamefull activities last years Sir a person SUBHRO SAHA forcefully involve few women employee ex FEMALE employee in such shamefull doing At afternoon evening or after evening or night time they doing this shamefull activities Many innocent people are TRAPPED and suffering in such dirty issue for long time They are even to lodge a complain against them because of threatening and blackmailing ISSUE From above address PLACES and their mobile whatsapp no you can easily trace and track their all activities You need to investigate Last years detail Please help,Women/Child Related Crime
The person is using my pictures uploading on his account and adding weird comments relating myself with him especially when we dont know each other He has also been sending his private part images and seeking for mine in return Trying to misbehave in all the chats online and calling me day in and out just to eve tease me for his own pleasure It seems like a fake account but nobody is aware who is that person It has taken a toll on me as he is using my pictures on his profile every day,Women/Child Related Crime
I had a loan from Rupees land application Due to my financial reasons I am unable to pay repayment Because I dont have job now i was applied but he reject my Moratorium and now they continuously harassing me on social media and they backed my contacts And calling my relatives without my permission They damage my social reputation and they are continuously threatened me They said if you are not paying at the moment they will call my contacts and make a whats group of your contact and they threatening me with a fine of one lakh rupees and five years imprisonment,Other Cyber Crime
I was trying to buy liquor and came across a mobile number that was willing to provide home delivery When contacted through calls WhatsApp they gave the rates asked to pay upfront I paid and did not get anything back When I asked for the refund they again called me from another number and tried to make another fraud transaction by guiding me how to get refund They asked to open my phonepay wallet then asked to enter their number and in remarks told me to write Refund amount of Rs and in Amount section asked to write saying it is their machine number and pay now I did not pay as I was aware that it will deduct Rs from my account when confronted they abused and disconnected the call They sounded expert in what they were doing,Financial Fraud Crimes
Hello We got a contact number from Facebook about a pardha wholesale shop and they told us they will give us pieces of samples and they told us they are going to send through courier because of their pressure we send We send the money through cdm Rs by the account number Name Kazi hasanuz zaman Karnataka bank and by Google pay number And They told us they will give the pardha soon thanks very much,Other Cyber Crime
I got a message in having a contact number the person told me regarding part time job and asked me to purchased some product and i will gain money and for that i have to play task i totally Invested Rs to them after that when i denied to pay any amount they freeze my account and i am unable to withdraw my amount,Other Cyber Crime
Hello My Name is Geeta Singh D o Sh Surender singh A person massage me on my Instagram for rape and sexual I don t know who are he his Instagram id is ranaarpitenterprise enterprise kindly help me Thankyou,Other Cyber Crime
this fraud has been done on behalf of Patanjali ayurved Ltd All telephonic whatsapp conversation has done with phone no that person told his name vikash kumar bhadauriya tha,Financial Fraud Crimes
We first meet on eris app Its a online dating app He say i am a girl interested on you And he give a WhatsApp number And he call yesterday and he say call video call witg nude and he make video of me Laterally i know hevisca man And he call me in voice call in WhatsApp send me rupees instantly otherwise i share the video in facebook and Instagram I said why u do this He blackmail me again and again And finally i send rupees to his Google pay number The number is and his name is prmod rathor He continously calling me asking the balance amount otherwise he put on social mediaplease help me sir and action immediately I think he black mail many peoples,Women/Child Related Crime
Was completely unaware regarding the transactions found out when I was checking my transactions in Cred application on the similar day called the customer care for raising the dispute Was completely unaware regarding the transactions found out when I was checking my transactions in Cred application on the similar day called the customer care for raising the disputeWas completely unaware regarding the transactions found out when I was checking my transactions in Cred application on the similar day called the customer care for raising the disputeWas completely unaware regarding the transactions found out when I was checking my transactions in Cred application on the similar day called the customer care for raising the disputeWas completely unaware regarding the transactions found out when I was checking my transactions in Cred application on the similar day called the customer care for raising the dispute,Financial Fraud Crimes
name ummed singh district kaorli ps karanpur pincode suchnakrta ke ac no bank of baroda frod by direct bank total amount rs am rs id S am rs id S am rs id S suchnakrta ne btaya ki nah to unki kisi se baat hui h or nah he kisi ko koi jankari share ki fir bhi suchnakrta ke ac se pese cut gye h,Financial Fraud Crimes
He called to my number several time when I call him back he wont respond he called and whats app anonymous thing to my number My father use that whats app Kindly respond in it its a request My father is ex army,Women/Child Related Crime
On nov i want to buy a cloth stand and then i write on Google about cloth stand and then i saw that one and then i ordered it and they ask for online payment and I did it Payment of rs was made by me at pm and Paytm sent me mail of transaction Id,Financial Fraud Crimes
CJ Onstyle website cjcjappcom pdf excel file,Financial Fraud Crimes
Ive taken loan from icredit app name bigshark I couldnt pay them due to financial problem and they are harassing me like hell Calling on my contact I told them Ill pay by as soon as possible but not listing Please help me,Other Cyber Crime
My debit card lost yesterday at AVJ Society Sector Zeta Greater Noida I dont aware about my debit card till its misuse Debit card misused by two unknown persons Videos attached at Day to Day Shopping Complex AVJ Society Sector ZETA Greater Noida Gautam Budh Nager Uttar Pradesh,Financial Fraud Crimes
Online Frauds Loan Fraud Any Other Victimn india ai credit cash loan ane app lo loan tesukovadaniki app download chesi details kanukonnaru vallau processing fee paycheyamante pay chesaru then vallu fruad ani telisindhi victimn amount loss iyyaru,Financial Fraud Crimes
Name Anil Kumar Email IDanilkaingmailcom DistrictDholpur PSNihalganj Pin Code Mobile No Total Fraud Amount Rs Frauder Ka mobile No Transactions Phone No Account no IFSCSBIN TRANSACTION IDT UTR NO DATE TIME PM AMOUNT Rs TRANSACTION IDT UTR NO DATE TIME PM AMOUNT Rs TRANSACTION IDT UTR NO DATE TIME PM AMOUNT Rs TRANSACTION IDT UTR NO DATE TIME PM AMOUNT Rs TRANSACTION IDT UTR NO DATE TIME PM AMOUNT Rs suchna krta ne btaya ki ek no se call aya kha gya ki Apki life Insurence Policy se bat kr rhe hai suchna krta se unki jankari li gyi Suchna krta ke do Account se Pese cut Gye,Financial Fraud Crimes
Pearson called on my phone and asked me to click on the link and transactions of were done from my paytm upi id my hdfc bank account was debited in total i lost in the fraud I contacted my bank and blocked my account and upi,Financial Fraud Crimes
Dear Concerned It has come to my notice that a fake account using my photographs has gotten created on Facebook platform Further it has come to my notice that financial demands are made using the fake account the email ID tagged to this account is httpswwwfacebookcomprofilephpid Requested your kind office to take necessary steps on same and bring the perpetrators to face the consequence of law,Other Cyber Crime
today i got the message from dhani app your using credit limit please pay due amount but i did not activate this card till now when i call customer care he said your yousing credit limit and you have to pay it but i did not use this some one yous my lost mobile card please accept my complaint,Other Cyber Crime
Pichle kuch time ton koi banda facebook te fake id banake meriyan photos upload kr rya hai Jis da pta mainu mere friends ton pta lgda hai jo mere nal kam krde ne Usdi fake id da name Pk pk ton hai Jo meri permission ton bina upload kr rya hai Jis karn mainu bhut dikat aa rahi hai Usde screenshot sabmit kr rya hai Name Daljeet singh Mobile no,Women/Child Related Crime
RESPECTED DIGNITARIES IM SRINIVAS RAO RECENTLY I GOT AN UNKNOWN LINK AFTER CLICKING ON THE UNKNOWN LINK AN LUPSUM AMOUNT HAS BEEN DEBITED FROM MY BANK ACCOUNTS I HAVE REACHED THE LOCAL POLICE STATION AND INFORMED THE ISSUE AND ALSO FILLED A CASE IN CYBERCRIME WEBSITES BUT I GOT CALLS FROM UNKNOWN NUMBERS STRATING WITH SOME UNIDENTICAL NUMBERS SO THE CYBERCRIME DEPARTMENT PEOPLE SUGGESTED THAT TO STOP USING THE PHONE AND THEY INFORMED ME TO BLOCK MY SIM SO IM REQUESTING EVERYONE PLEASE SAVE THIS NUMBER AS MY PERMANENT NUMBERS FOR ANY QUERIES CONTACT ME I HAVE LOST ALL THE DATA WHICH IS NECESSARY AND VERY IMPORTANT THEY ARE THREATENING ME BY CALLING FROM UNKNOWN NUMBERS AND SPEAKING IN A VULGAR MANNER PLEASE SIR ITS MY SINCERE REQUEST MY DEAR ELEGANT DEMANOUR CLEAR THE ISSUE AS SOON AS POSSIBLE AND PLEASE CREATE AWARNESS TO THE PEOPLE INCRUPTION FROM AN UNKNOWN LINKS AND DATA BLEACH AND HARRASHING IN A RUDE MANNER AND MONEY THEFT ITS A SERIOUS ISSUE SIR PLEASE CONSIDER IT AND CLEAR AS SOON AS POSSIBLE,Financial Fraud Crimes
Respected Sir A very serious matter I want to inform you Few person running or involve in some very shamefull activities by using few women at many places of kolkata gariahat ballygunge RUBY HOSPITAL BEHIND area KASBA ANANDAPUR QUEST MALL metropolis mall area ACROPOLISMALL area park circus FORUM MALL ELGIN RD Parkstreet MAIDAN AREA esplanade Garia jadavpur BEHALASAKHERBAZAR JOKA BANSDRONI Rabindrasadanexide area HARIDEVPUR triangular park lake mall area rashbehari area TOLLYGUNGE THAKURPUKUR BBD BAG DALHOUSIE AREA and SALTLAKE Their name SUBHRO SAHA AMLAN DATTA IZAZ AHMED Anirban They officially work in a insurance office hdfclife a hindustanpark ab gariahat shopping mall st floor beside of reliance trend building near gariahat more but outside at several places they involve in some shamefull activities last years Sir a person SUBHRO SAHA forcefully involve few women employee ex FEMALE employee in such shamefull doing At afternoon evening or after evening or night time they doing this shamefull activities Many innocent people are TRAPPED and suffering in such dirty issue for long time They are even to lodge a complain against them because of threatening and blackmailing ISSUE From above address PLACES and their mobile whatsapp no you can easily trace and track their all activities You need to investigate Last years detail Please help,Women/Child Related Crime
Hi My name is Ashana I have linked two screenshots together that are pretending to be me I have also received abusive messages from a fake Id called fakesiddharthians I run a fan page for a celebrity on Instagram and after years now I am constantly being bullied by this person or I am receiving hateful messages I have no idea why is this happening I tried messaging this person but she does not reply to my messages She keeps on changing her Instagram display pictures and Instagram Bio as soon as I change mine My account is ashanaauniverse now She reported old accounts of mine from Instagram I have no idea why I feel mentally tortured and harassed by receiving such hateful messages Please find out who this person please track her or help me It would mean a lot to me she is not stopping after thinking a lot I am trusting this site and filing a complaint You can email me for more details and not call me Thank you,Other Cyber Crime
"My friend mentioned something like this happened to them a few months ago, but I thought it was a one-off. Then, suddenly, I got this weird notification asking me to update my password, but the message didn’t look like the usual ones I receive from the app. It looked a bit off. Looking back, maybe I should have paid more attention to the little details, but now it's too late. My accounts are compromised. The more I tried to fix it, the more problems came up. My bank account was transction, and then I got locked out of everything. The worst part is, I don’t even know who to trust anymore. Friends, family, everyone’s acting strange. It’s affecting my relationships and my mental health. Even my phone isn’t working right anymore. It’s so stange how everything just fell apart after that one email.",Other Cyber Crime
Dear sirmaam he called me on WhatsApp at am on he used my face and put it in porn video then he send video clip to all my friends and he asked me for I am student sir he already sent video to my friends plz help me sir this is the only way otherwise Sucide will be my last option,Women/Child Related Crime
FRAUD THROUGH UPI Phone Pe BANK HDFC BANK ACCOUNT NUMBER TOTAL AMOUNT PLEASE HOLDREVERSE TOTAL AMOUNT IN THE COMPLAINANTS ACCOUNT AND TAKE NECESSARY ACTION,Financial Fraud Crimes
Respected Sir A very serious matter I want to inform you Few person running or involve in some very shamefull activities by using few women at many places of kolkata gariahat ballygunge RUBY HOSPITAL BEHIND area KASBA ANANDAPUR QUEST MALL metropolis mall area ACROPOLISMALL area park circus FORUM MALL ELGIN RD Parkstreet MAIDAN AREA esplanade Garia jadavpur BEHALASAKHERBAZAR JOKA BANSDRONI Rabindrasadanexide area HARIDEVPUR triangular park lake mall area rashbehari area TOLLYGUNGE THAKURPUKUR BBD BAG DALHOUSIE AREA and SALTLAKE Their name SUBHRO SAHA AMLAN DATTA IZAZ AHMED Anirban They officially work in a insurance office hdfclife a hindustanpark ab gariahat shopping mall st floor beside of reliance trend building near gariahat more but outside at several places they involve in some shamefull activities last years Sir a person SUBHRO SAHA forcefully involve few women employee ex FEMALE employee in such shamefull doing At afternoon evening or after evening or night time they doing this shamefull activities Many innocent people are TRAPPED and suffering in such dirty issue for long time They are even to lodge a complain against them because of threatening and blackmailing ISSUE From above address PLACES and their mobile whatsapp no you can easily trace and track their all activities You need to investigate Last years detail Please help,Women/Child Related Crime
she lost rs through fake amazon company and lost it,Financial Fraud Crimes
Respected Sir A very serious matter I want to inform you Few person running or involve in some very shamefull activities by using few women at many places of kolkata gariahat ballygunge RUBY HOSPITAL BEHIND area KASBA ANANDAPUR QUEST MALL metropolis mall area ACROPOLISMALL area park circus FORUM MALL ELGIN RD Parkstreet MAIDAN AREA esplanade Garia jadavpur BEHALASAKHERBAZAR JOKA BANSDRONI Rabindrasadanexide area HARIDEVPUR triangular park lake mall area rashbehari area TOLLYGUNGE THAKURPUKUR BBD BAG DALHOUSIE AREA and SALTLAKE Their name SUBHRO SAHA AMLAN DATTA IZAZ AHMED Anirban They officially work in a insurance office hdfclife a hindustanpark ab gariahat shopping mall st floor beside of reliance trend building near gariahat more but outside at several places they involve in some shamefull activities last years Sir a person SUBHRO SAHA forcefully involve few women employee ex FEMALE employee in such shamefull doing At afternoon evening or after evening or night time they doing this shamefull activities Many innocent people are TRAPPED and suffering in such dirty issue for long time They are even to lodge a complain against them because of threatening and blackmailing ISSUE From above address PLACES and their mobile whatsapp no you can easily trace and track their all activities You need to investigate Last years detail Please help,Women/Child Related Crime
I AM SPEAKING REGARDING MY COMPUTER JOB ON MY PHONE THEN I RECEIVED AN OTP FACE BOOK RESET PASSWORD CODE WHICH I DISCLOSED TO THAT PERSON WHO I WAS SPEAKING ON PHONE MY INSTAGRAM ID ALSO HACKED BY THAT PERSON,Other Cyber Crime
I had taken loan from the app like indloan fishcash cashwallet cashstation previously i paid and again i had taken the loan to pay the loan because they are calling me and harrasing me that they will share all your details to my contact list i dont have money to pay now i am completely blank dont know what to do they are blackmailing me please help me want to come out from this trap i am not able to pay the money now to pay loan i had taken loan from other app which is made very big mistake now not possible to pay the loan amount,Financial Fraud Crimes
Respected Sir A very serious matter I want to inform you Few person running or involve in some very shamefull activities by using few women at many places of kolkata gariahat ballygunge RUBY HOSPITAL BEHIND area KASBA ANANDAPUR QUEST MALL metropolis mall area ACROPOLISMALL area park circus FORUM MALL ELGIN RD Parkstreet MAIDAN AREA esplanade Garia jadavpur BEHALASAKHERBAZAR JOKA BANSDRONI Rabindrasadanexide area HARIDEVPUR triangular park lake mall area rashbehari area TOLLYGUNGE THAKURPUKUR BBD BAG DALHOUSIE AREA and SALTLAKE Their name SUBHRO SAHA AMLAN DATTA IZAZ AHMED Anirban They officially work in a insurance office hdfclife a hindustanpark ab gariahat shopping mall st floor beside of reliance trend building near gariahat more but outside at several places they involve in some shamefull activities last years Sir a person SUBHRO SAHA forcefully involve few women employee ex FEMALE employee in such shamefull doing At afternoon evening or after evening or night time they doing this shamefull activities Many innocent people are TRAPPED and suffering in such dirty issue for long time They are even to lodge a complain against them because of threatening and blackmailing ISSUE From above address PLACES and their mobile whatsapp no you can easily trace and track their all activities You need to investigate Last years detail Please help,Women/Child Related Crime
I Ankita sisodia has booked at flight ticket by Travolook for my brother Mr Ashish Sisodia on th Jan they booked the ticket and as the amount debited they immediately cancelled the ticket I tried reaching them over mail and phone on refund they were not approachable then sometime after they sent a mail quoting refund will be done within to days Since these many days im trying to reach them over mail and call they are not responding neither refund is received,Other Cyber Crime
i got phone call form fraudster he said your father money is with me i am sending the link click on that link i click on the then rupees link this happened at pm nearly i blocked my everything about the bank please block the transaction,Financial Fraud Crimes
i had given all details in my attachment kindly check it and if you required more then i will provide it also you can call to all group members maybe lots people are victimized from this type fruad persons,Financial Fraud Crimes
MUJE PHONE KAR BTAYA KI AAPKO PESE DOUBLR LR DENGE,Financial Fraud Crimes
Fraud lottery prize by KBC shrimaan Hamare whatsapp number par jo massage Fraud lottery prize ke liye aaya hai Use maine aap ko send diye hain Shrimaan aap isko sangyan me lekar Bhartiya Kanoon ke anusar sabak sikhayen jai hind jai bharat,Financial Fraud Crimes
Victim received fraud call and fraudulently money has been transferred into the several accounts of the fraudster So you are requested to debit freeze all beneficiaries accounts till the end user and refund the blocked amount into victims source account,Financial Fraud Crimes
Some one member haked my facebook account please recover my facebook id that id very important somebody try to use without my perimission please recover my facebook account Haker phone,Other Cyber Crime
